GradorPost,Relationship,Age,days_enrolled,kidsteenHome,Income,Total_Spent,NumAllPurchases,AverageCheck,NumWebVisitsMonth,ShareDealsPurchases,SumAcceptedOffers,cluster
PostGrad Degree,Relationship,49,379,0,84618.0,1672,25,66.9,2,4.0,1,1
PostGrad Degree,Single,25,198,0,10979.0,30,6,5.0,5,33.3,0,2
PostGrad Degree,Relationship,51,396,0,38620.0,318,10,31.8,3,10.0,0,2
Undergrad Degree,Relationship,44,787,1,40548.0,120,7,17.1,5,28.6,1,0
PostGrad Degree,Single,62,768,2,46610.0,302,11,27.5,6,54.5,1,0
PostGrad Degree,Relationship,68,654,0,68657.0,1196,17,70.4,7,5.9,0,1
PostGrad Degree,Single,63,464,2,49389.0,65,5,13.0,7,20.0,0,2
PostGrad Degree,Relationship,44,340,1,67353.0,913,23,39.7,2,21.7,0,3
PostGrad Degree,Relationship,38,665,1,23718.0,81,6,13.5,7,50.0,0,0
Undergrad Degree,Single,41,34,1,42429.0,67,5,13.4,5,40.0,0,2
PostGrad Degree,Single,71,703,0,48948.0,902,22,41.0,6,9.1,2,3
Undergrad Degree,Relationship,34,586,1,80011.0,1395,19,73.4,4,10.5,0,1
PostGrad Degree,Relationship,29,368,1,20559.0,53,5,10.6,8,40.0,0,2
Undergrad Degree,Relationship,57,712,1,21994.0,22,3,7.3,5,33.3,0,0
PostGrad Degree,Single,55,574,0,52247.25135379061,186,8,23.2,2,12.5,0,0
PostGrad Degree,Relationship,39,664,1,7500.0,31,5,6.2,5,60.0,0,0
Undergrad Degree,Single,38,161,0,79941.0,984,15,65.6,1,6.7,0,1
PostGrad Degree,Relationship,18,816,0,7500.0,122,7,17.4,9,42.9,1,0
Undergrad Degree,Relationship,46,561,1,41728.0,55,4,13.8,10,25.0,0,0
Undergrad Degree,Single,63,339,3,52247.25135379061,124,7,17.7,6,42.9,0,2
PostGrad Degree,Relationship,60,847,2,72550.0,1319,19,69.4,8,47.4,0,1
Undergrad Degree,Single,57,1,1,65486.0,507,16,31.7,2,6.2,0,2
PostGrad Degree,Relationship,50,758,0,79143.0,1693,28,60.5,3,3.6,0,1
Undergrad Degree,Single,37,673,1,35790.0,72,5,14.4,7,40.0,0,0
Undergrad Degree,Single,37,153,0,82582.0,1617,20,80.8,1,5.0,3,1
Undergrad Degree,Relationship,36,365,2,66373.0,606,16,37.9,3,43.8,0,3
PostGrad Degree,Relationship,59,747,0,82384.0,1957,26,75.3,1,3.8,2,1
Undergrad Degree,Single,48,670,0,70287.0,1093,20,54.6,3,5.0,1,3
Undergrad Degree,Single,26,222,1,27938.0,29,5,5.8,3,20.0,0,2
Undergrad Degree,Single,32,537,1,52247.25135379061,46,5,9.2,6,40.0,0,0
PostGrad Degree,Relationship,46,278,1,55954.0,518,16,32.4,7,18.8,0,3
PostGrad Degree,Single,32,608,0,75777.0,1438,20,71.9,1,5.0,3,1
Undergrad Degree,Relationship,39,880,2,66653.0,612,18,34.0,3,22.2,0,3
Undergrad Degree,Single,62,656,1,61823.0,884,20,44.2,7,20.0,0,3
PostGrad Degree,Single,63,395,1,67680.0,606,18,33.7,5,5.6,0,3
Undergrad Degree,Relationship,66,542,0,70666.0,1076,15,71.7,4,6.7,0,1
Undergrad Degree,Relationship,43,564,1,25721.0,34,4,8.5,7,25.0,1,0
Undergrad Degree,Relationship,47,31,2,32474.0,11,3,3.7,7,33.3,0,2
PostGrad Degree,Single,35,262,1,88194.0,1274,31,41.1,5,3.2,3,3
Undergrad Degree,Relationship,56,435,1,69096.0,653,17,38.4,4,5.9,0,3
Undergrad Degree,Relationship,44,489,3,74854.0,1562,12,130.2,5,58.3,0,1
PostGrad Degree,Relationship,60,757,0,66991.0,1253,18,69.6,3,16.7,0,1
PostGrad Degree,Relationship,41,813,1,52247.25135379061,109,6,18.2,8,50.0,0,0
Undergrad Degree,Relationship,55,629,1,65031.0,863,26,33.2,7,15.4,0,3
PostGrad Degree,Relationship,39,581,2,60631.0,661,19,34.8,7,26.3,1,3
Undergrad Degree,Relationship,62,220,0,28332.0,65,7,9.3,2,14.3,0,2
Undergrad Degree,Single,37,717,1,40246.0,13,3,4.3,6,33.3,0,0
PostGrad Degree,Relationship,42,831,0,75251.0,1890,18,105.0,5,5.6,1,1
Undergrad Degree,Single,38,726,0,75825.0,2209,22,100.4,4,0.0,2,1
PostGrad Degree,Relationship,38,606,0,26326.0,18,3,6.0,3,33.3,0,0
Undergrad Degree,Relationship,49,673,0,56046.0,692,19,36.4,8,10.5,2,3
Undergrad Degree,Single,29,829,1,29760.0,165,8,20.6,8,50.0,0,0
Undergrad Degree,Relationship,45,531,1,26304.0,16,3,5.3,7,33.3,0,0
PostGrad Degree,Relationship,41,639,1,23559.0,79,6,13.2,7,50.0,0,0
PostGrad Degree,Relationship,51,396,0,38620.0,318,10,31.8,3,10.0,0,2
Undergrad Degree,Single,27,284,0,81361.0,778,26,29.9,1,3.8,0,3
Undergrad Degree,Relationship,54,393,2,29440.0,56,5,11.2,7,40.0,0,2
PostGrad Degree,Relationship,44,508,2,36138.0,151,8,18.9,7,62.5,1,0
Undergrad Degree,Single,57,192,1,50388.0,372,13,28.6,7,30.8,3,2
Undergrad Degree,Relationship,41,1,0,79593.0,1366,18,75.9,2,5.6,1,1
Undergrad Degree,Relationship,47,319,1,54178.0,194,9,21.6,2,11.1,0,2
PostGrad Degree,Relationship,57,747,3,52247.25135379061,603,17,35.5,9,70.6,0,3
Undergrad Degree,Single,57,193,2,52247.25135379061,18,3,6.0,7,33.3,0,2
PostGrad Degree,Relationship,41,378,0,52247.25135379061,985,14,70.4,1,7.1,0,1
PostGrad Degree,Single,42,258,1,42394.0,32,4,8.0,7,25.0,0,2
PostGrad Degree,Relationship,44,196,1,23626.0,43,7,6.1,5,42.9,0,2
Undergrad Degree,Relationship,31,198,1,30096.0,45,5,9.0,6,20.0,0,2
Undergrad Degree,Single,54,744,1,47916.0,606,17,35.6,6,29.4,1,3
Undergrad Degree,Single,42,397,2,51813.0,63,5,12.6,7,40.0,0,2
PostGrad Degree,Relationship,63,693,0,78497.0,978,24,40.8,2,4.2,1,3
PostGrad Degree,Relationship,31,534,0,50150.0,410,14,29.3,5,14.3,0,3
PostGrad Degree,Single,54,501,1,47823.0,72,5,14.4,8,40.0,0,2
PostGrad Degree,Single,55,251,1,34554.0,55,5,11.0,6,40.0,0,2
Undergrad Degree,Relationship,35,595,1,85693.0,1169,25,46.8,5,8.0,0,3
PostGrad Degree,Relationship,69,568,0,65846.0,1120,15,74.7,4,6.7,0,1
Undergrad Degree,Relationship,55,123,0,87195.0,1097,19,57.7,1,5.3,1,3
Undergrad Degree,Relationship,35,420,1,24594.0,29,4,7.2,5,25.0,0,2
Undergrad Degree,Relationship,50,438,2,49096.0,187,9,20.8,7,44.4,0,2
Undergrad Degree,Relationship,45,672,2,52413.0,910,22,41.4,6,18.2,0,3
Undergrad Degree,Single,36,717,1,38557.0,145,7,20.7,7,28.6,0,0
PostGrad Degree,Relationship,54,877,0,89058.0,850,13,65.4,2,7.7,0,3
Undergrad Degree,Relationship,35,663,1,77298.0,969,23,42.1,3,4.3,0,3
PostGrad Degree,Single,23,786,0,68126.0,1820,16,113.8,9,6.2,2,1
PostGrad Degree,Relationship,51,164,1,57288.0,608,17,35.8,6,17.6,1,3
Undergrad Degree,Single,23,673,0,86037.0,730,24,30.4,3,4.2,3,3
PostGrad Degree,Relationship,34,724,1,43974.0,551,16,34.4,7,31.2,0,3
Undergrad Degree,Single,52,423,2,50785.0,114,6,19.0,6,33.3,0,2
Undergrad Degree,Relationship,44,316,0,90765.0,1724,15,114.9,1,0.0,2,1
PostGrad Degree,Relationship,36,655,1,36550.0,577,15,38.5,9,33.3,0,3
PostGrad Degree,Relationship,47,394,2,30753.0,81,5,16.2,5,40.0,0,2
Undergrad Degree,Relationship,45,387,1,21918.0,33,5,6.6,6,40.0,0,2
PostGrad Degree,Relationship,61,534,1,56129.0,660,18,36.7,4,22.2,0,3
PostGrad Degree,Single,47,285,1,32557.0,80,6,13.3,5,50.0,1,2
PostGrad Degree,Relationship,29,606,2,19510.0,30,4,7.5,7,50.0,0,0
Undergrad Degree,Single,38,593,1,30992.0,43,4,10.8,7,25.0,0,0
Undergrad Degree,Single,31,368,0,101970.0,1135,27,42.0,2,0.0,4,3
PostGrad Degree,Relationship,49,656,0,71488.0,559,14,39.9,1,14.3,0,3
Undergrad Degree,Single,30,594,0,79607.0,1923,15,128.2,1,6.7,1,1
PostGrad Degree,Relationship,61,122,2,54348.0,90,6,15.0,6,33.3,0,2
PostGrad Degree,Relationship,53,394,1,52247.25135379061,404,14,28.9,6,21.4,0,2
PostGrad Degree,Relationship,58,62,2,77376.0,661,19,34.8,4,21.1,0,3
Undergrad Degree,Relationship,62,432,1,62998.0,463,14,33.1,5,35.7,0,3
PostGrad Degree,Single,56,429,2,61331.0,632,18,35.1,8,27.8,0,3
Undergrad Degree,Relationship,45,65,0,73448.0,725,18,40.3,4,5.6,0,3
Undergrad Degree,Relationship,51,393,1,52247.25135379061,725,18,40.3,4,5.6,0,3
PostGrad Degree,Relationship,50,479,2,41551.0,279,11,25.4,8,45.5,0,2
PostGrad Degree,Relationship,47,629,0,62981.0,1482,22,67.4,3,4.5,1,1
Undergrad Degree,Single,38,850,1,9548.0,29,4,7.2,8,50.0,0,0
PostGrad Degree,Relationship,55,517,3,33762.0,106,6,17.7,8,50.0,0,0
PostGrad Degree,Single,41,201,2,35860.0,49,4,12.2,5,50.0,2,2
PostGrad Degree,Single,49,496,2,36921.0,38,5,7.6,7,40.0,0,2
PostGrad Degree,Single,22,778,0,92859.0,2077,21,98.9,2,4.8,0,1
PostGrad Degree,Relationship,38,387,1,65104.0,1053,15,70.2,7,13.3,1,1
Undergrad Degree,Relationship,52,596,0,86111.0,1385,22,63.0,2,4.5,0,1
PostGrad Degree,Single,40,465,1,68352.0,871,22,39.6,6,13.6,0,3
Undergrad Degree,Relationship,26,627,1,41883.0,312,9,34.7,7,33.3,0,0
Undergrad Degree,Relationship,38,779,2,59809.0,877,12,73.1,8,25.0,0,1
Undergrad Degree,Relationship,39,769,1,23957.0,68,5,13.6,6,20.0,1,0
Undergrad Degree,Relationship,33,465,1,38547.0,22,3,7.3,8,33.3,0,2
PostGrad Degree,Relationship,41,836,3,35688.0,211,9,23.4,8,77.8,0,0
PostGrad Degree,Relationship,48,168,0,49605.0,127,7,18.1,3,14.3,0,2
PostGrad Degree,Relationship,61,226,2,59354.0,459,15,30.6,3,6.7,0,2
Undergrad Degree,Relationship,45,156,1,65747.0,460,15,30.7,6,26.7,1,2
PostGrad Degree,Relationship,42,722,1,46344.0,429,13,33.0,7,30.8,0,0
Undergrad Degree,Single,26,1,1,34176.0,89,7,12.7,6,57.1,0,2
PostGrad Degree,Relationship,62,817,1,61010.0,1021,24,42.5,5,8.3,0,3
Undergrad Degree,Relationship,65,655,0,69372.0,1381,20,69.0,4,5.0,3,1
Undergrad Degree,Single,56,486,1,49967.0,306,12,25.5,7,25.0,0,2
Undergrad Degree,Single,36,362,3,60199.0,18,3,6.0,4,33.3,0,2
Undergrad Degree,Relationship,37,415,1,55375.0,162,8,20.2,2,12.5,0,2
Undergrad Degree,Single,59,473,0,80317.0,1231,17,72.4,1,5.9,0,1
PostGrad Degree,Single,56,698,3,30523.0,13,3,4.3,7,33.3,0,0
PostGrad Degree,Relationship,69,939,0,70356.0,1706,25,68.2,6,8.0,0,1
Undergrad Degree,Relationship,30,219,1,23228.0,121,7,17.3,8,57.1,0,2
PostGrad Degree,Single,39,700,0,74165.0,1293,19,68.1,2,5.3,0,1
PostGrad Degree,Relationship,41,337,1,115000.0,1608,22,73.1,0,68.2,0,1
Undergrad Degree,Relationship,48,388,3,43482.0,88,6,14.7,6,50.0,0,2
Undergrad Degree,Single,61,383,0,62551.0,421,17,24.8,3,5.9,1,3
Undergrad Degree,Single,55,465,0,52332.0,259,11,23.5,4,9.1,1,2
Undergrad Degree,Single,26,663,0,66951.0,1117,14,79.8,1,7.1,0,1
Undergrad Degree,Relationship,57,284,2,26091.0,89,6,14.8,5,50.0,0,2
Undergrad Degree,Relationship,49,229,2,33456.0,36,4,9.0,7,50.0,0,2
Undergrad Degree,Relationship,32,511,1,28718.0,57,5,11.4,8,40.0,0,0
Undergrad Degree,Relationship,44,229,2,50447.0,148,7,21.1,6,14.3,0,2
PostGrad Degree,Relationship,55,310,2,53537.0,93,6,15.5,5,33.3,0,2
Undergrad Degree,Single,47,246,1,52074.0,119,6,19.8,4,16.7,1,2
PostGrad Degree,Relationship,39,727,1,80427.0,1835,27,68.0,5,3.7,0,1
PostGrad Degree,Relationship,66,720,0,83837.0,1318,24,54.9,4,4.2,3,3
PostGrad Degree,Relationship,44,197,2,38853.0,45,5,9.0,7,40.0,0,2
Undergrad Degree,Relationship,55,165,3,38285.0,10,3,3.3,2,33.3,0,2
PostGrad Degree,Relationship,63,693,0,78497.0,978,24,40.8,2,4.2,1,3
PostGrad Degree,Relationship,38,31,1,51650.0,191,9,21.2,5,11.1,0,2
PostGrad Degree,Relationship,26,62,1,16248.0,57,6,9.5,6,50.0,0,2
PostGrad Degree,Relationship,68,434,0,66835.0,1033,23,44.9,2,4.3,0,3
PostGrad Degree,Relationship,30,318,1,30477.0,66,5,13.2,6,20.0,0,2
Undergrad Degree,Relationship,53,174,0,28249.0,43,5,8.6,6,20.0,0,2
Undergrad Degree,Relationship,31,938,1,25271.0,50,4,12.5,9,25.0,0,0
PostGrad Degree,Single,44,125,1,32303.0,39,5,7.8,5,40.0,0,2
Undergrad Degree,Relationship,48,666,1,61286.0,608,16,38.0,5,12.5,0,3
Undergrad Degree,Relationship,38,627,0,74068.0,1581,23,68.7,2,4.3,0,1
PostGrad Degree,Relationship,50,651,2,45759.0,68,5,13.6,7,40.0,0,0
Undergrad Degree,Relationship,36,818,1,24882.0,80,4,20.0,6,25.0,1,0
PostGrad Degree,Relationship,25,568,0,66973.0,1282,27,47.5,3,3.7,0,3
PostGrad Degree,Single,114,436,1,36640.0,65,5,13.0,5,20.0,0,2
Undergrad Degree,Relationship,26,555,1,38872.0,91,6,15.2,8,33.3,0,0
Undergrad Degree,Relationship,41,656,2,51148.0,315,12,26.2,6,33.3,0,0
Undergrad Degree,Relationship,37,342,2,31353.0,31,4,7.8,8,50.0,0,2
PostGrad Degree,Relationship,34,207,0,69661.0,834,22,37.9,3,4.5,0,3
Undergrad Degree,Relationship,60,443,0,80067.0,1600,16,100.0,2,6.2,1,1
Undergrad Degree,Relationship,60,688,0,86718.0,1270,16,79.4,2,6.2,0,1
PostGrad Degree,Single,41,250,2,46854.0,263,9,29.2,8,66.7,2,2
Undergrad Degree,Single,62,160,1,69142.0,535,16,33.4,5,18.8,1,2
Undergrad Degree,Single,46,450,0,75922.0,1295,17,76.2,1,5.9,0,1
Undergrad Degree,Single,36,418,1,63693.0,1150,26,44.2,6,11.5,0,3
PostGrad Degree,Relationship,37,1029,0,102160.0,1240,26,47.7,4,0.0,4,3
PostGrad Degree,Single,49,507,2,40637.0,38,4,9.5,7,50.0,0,0
PostGrad Degree,Single,30,786,0,18890.0,35,3,11.7,6,33.3,2,0
Undergrad Degree,Relationship,26,481,1,29604.0,53,4,13.2,9,25.0,1,2
PostGrad Degree,Single,51,572,2,48721.0,293,11,26.6,6,54.5,0,0
Undergrad Degree,Relationship,48,122,1,44794.0,65,5,13.0,6,20.0,0,2
Undergrad Degree,Single,60,788,1,64497.0,1804,24,75.2,8,20.8,2,1
Undergrad Degree,Relationship,58,615,1,46097.0,241,10,24.1,4,50.0,0,0
Undergrad Degree,Relationship,60,263,0,77972.0,1101,19,57.9,1,5.3,0,3
PostGrad Degree,Relationship,46,940,2,44377.0,264,11,24.0,8,72.7,0,0
PostGrad Degree,Relationship,40,684,2,46014.0,541,16,33.8,7,62.5,0,3
Undergrad Degree,Relationship,29,610,0,70951.0,1198,16,74.9,1,6.2,0,1
Undergrad Degree,Relationship,37,336,1,41443.0,482,14,34.4,8,42.9,0,2
PostGrad Degree,Single,36,1,3,52195.0,17,3,5.7,8,33.3,0,2
PostGrad Degree,Relationship,66,386,0,83790.0,1615,24,67.3,3,4.2,2,1
PostGrad Degree,Single,60,462,1,44551.0,285,10,28.5,7,20.0,0,2
Undergrad Degree,Relationship,34,752,1,69508.0,1135,26,43.7,6,7.7,0,3
PostGrad Degree,Relationship,26,32,1,45204.0,114,6,19.0,3,16.7,0,2
Undergrad Degree,Relationship,45,387,0,72460.0,1047,15,69.8,1,6.7,0,1
PostGrad Degree,Relationship,44,236,2,77622.0,714,20,35.7,3,10.0,0,3
PostGrad Degree,Relationship,34,584,1,30732.0,185,9,20.6,8,44.4,0,0
Undergrad Degree,Single,52,849,1,63887.0,1245,27,46.1,6,18.5,0,3
Undergrad Degree,Relationship,36,620,1,42011.0,189,8,23.6,8,50.0,0,0
Undergrad Degree,Relationship,38,772,1,51369.0,576,14,41.1,8,14.3,0,3
Undergrad Degree,Single,62,815,1,51537.0,1103,15,73.5,8,20.0,0,1
PostGrad Degree,Relationship,42,850,0,79930.0,1753,16,109.6,2,6.2,0,1
PostGrad Degree,Relationship,28,293,1,34320.0,17,3,5.7,8,33.3,0,2
Undergrad Degree,Single,48,626,2,37070.0,433,14,30.9,7,64.3,1,3
PostGrad Degree,Single,52,584,1,81975.0,1588,13,122.2,7,7.7,1,1
Undergrad Degree,Relationship,43,570,1,38590.0,22,3,7.3,8,33.3,0,0
Undergrad Degree,Single,63,234,0,15033.0,19,4,4.8,3,25.0,0,2
PostGrad Degree,Relationship,49,623,1,62745.0,1117,26,43.0,5,11.5,0,3
PostGrad Degree,Relationship,39,450,1,22212.0,69,6,11.5,6,33.3,0,2
PostGrad Degree,Relationship,32,603,1,23661.0,23,4,5.8,7,25.0,0,0
PostGrad Degree,Single,56,605,1,79761.0,605,18,33.6,3,5.6,0,3
Undergrad Degree,Single,41,345,1,7500.0,57,7,8.1,7,57.1,0,2
PostGrad Degree,Single,121,203,1,60182.0,22,3,7.3,4,33.3,0,2
Undergrad Degree,Single,46,404,0,73455.0,2088,21,99.4,3,4.8,1,1
Undergrad Degree,Relationship,56,713,1,64961.0,1009,14,72.1,3,14.3,0,1
Undergrad Degree,Single,43,493,1,22804.0,26,4,6.5,9,25.0,0,2
Undergrad Degree,Relationship,24,373,0,73687.0,1627,21,77.5,2,4.8,2,1
Undergrad Degree,Relationship,56,841,1,61074.0,1102,24,45.9,7,29.2,0,3
PostGrad Degree,Relationship,50,214,2,31686.0,17,4,4.2,6,50.0,0,2
Undergrad Degree,Relationship,42,565,1,80134.0,1690,14,120.7,6,14.3,4,1
Undergrad Degree,Relationship,61,461,1,75027.0,1390,19,73.2,5,10.5,0,1
PostGrad Degree,Relationship,26,827,0,67546.0,2126,19,111.9,3,5.3,0,1
PostGrad Degree,Relationship,45,768,1,65176.0,1531,21,72.9,6,19.0,0,1
PostGrad Degree,Single,39,446,1,31160.0,64,5,12.8,8,40.0,0,2
Undergrad Degree,Single,29,405,1,29938.0,26,4,6.5,6,50.0,0,2
Undergrad Degree,Single,40,581,0,102692.0,1112,28,39.7,2,3.6,5,3
PostGrad Degree,Relationship,56,805,0,26490.0,210,9,23.3,6,22.2,0,0
Undergrad Degree,Relationship,47,829,2,75702.0,1148,21,54.7,8,23.8,0,3
PostGrad Degree,Single,40,784,1,30899.0,33,4,8.2,6,50.0,0,0
PostGrad Degree,Relationship,53,781,1,63342.0,1101,16,68.8,6,18.8,1,1
Undergrad Degree,Single,50,775,1,45989.0,322,12,26.8,3,33.3,0,0
Undergrad Degree,Single,50,609,2,18701.0,44,6,7.3,5,66.7,0,0
PostGrad Degree,Single,57,481,3,40737.0,17,3,5.7,8,33.3,0,2
Undergrad Degree,Single,35,787,1,15287.0,31,4,7.8,7,50.0,2,0
PostGrad Degree,Single,46,563,2,69674.0,845,22,38.4,5,13.6,0,3
PostGrad Degree,Relationship,44,172,1,44159.0,275,11,25.0,5,36.4,0,2
PostGrad Degree,Relationship,36,743,1,37717.0,25,3,8.3,9,33.3,0,0
PostGrad Degree,Relationship,62,644,2,43776.0,275,11,25.0,8,54.5,1,0
PostGrad Degree,Relationship,48,632,2,38179.0,90,7,12.9,7,57.1,0,0
Undergrad Degree,Relationship,51,163,0,80124.0,1495,18,83.1,1,5.6,1,1
PostGrad Degree,Relationship,44,782,2,38097.0,184,7,26.3,7,57.1,2,0
Undergrad Degree,Relationship,44,535,0,72940.0,981,12,81.8,1,8.3,0,1
Undergrad Degree,Relationship,44,605,1,22070.0,67,6,11.2,6,33.3,0,0
Undergrad Degree,Single,61,805,0,69267.0,1635,12,136.2,7,16.7,1,1
PostGrad Degree,Single,31,261,1,31788.0,60,7,8.6,5,42.9,0,2
PostGrad Degree,Relationship,39,248,1,61905.0,231,10,23.1,5,20.0,0,2
Undergrad Degree,Relationship,54,185,2,29315.0,48,6,8.0,6,66.7,0,2
Undergrad Degree,Single,51,552,2,33378.0,99,6,16.5,7,50.0,0,0
PostGrad Degree,Relationship,51,446,1,66313.0,770,21,36.7,4,9.5,0,3
Undergrad Degree,Single,58,688,0,60714.0,957,21,45.6,5,9.5,1,3
PostGrad Degree,Relationship,33,220,0,77882.0,818,11,74.4,1,9.1,0,1
PostGrad Degree,Single,28,670,0,69867.0,925,16,57.8,1,6.2,2,3
PostGrad Degree,Single,46,594,1,63841.0,908,21,43.2,6,4.8,0,3
Undergrad Degree,Relationship,33,399,1,24480.0,102,7,14.6,7,42.9,0,2
Undergrad Degree,Relationship,38,772,1,51369.0,576,14,41.1,8,14.3,0,3
Undergrad Degree,Relationship,68,827,0,37760.0,317,11,28.8,7,18.2,0,0
PostGrad Degree,Relationship,40,337,1,65640.0,461,14,32.9,2,7.1,0,2
PostGrad Degree,Relationship,39,233,2,44319.0,37,5,7.4,5,40.0,0,2
Undergrad Degree,Relationship,40,364,1,30631.0,70,6,11.7,7,16.7,0,2
Undergrad Degree,Relationship,62,676,0,75278.0,930,22,42.3,3,4.5,0,3
PostGrad Degree,Relationship,58,492,2,50898.0,859,20,43.0,5,65.0,0,3
Undergrad Degree,Single,48,1,0,79946.0,1478,21,70.4,3,4.8,0,1
PostGrad Degree,Single,65,541,0,35416.0,390,13,30.0,8,23.1,0,0
PostGrad Degree,Relationship,30,608,0,32414.0,52,4,13.0,7,25.0,1,0
Undergrad Degree,Relationship,45,344,1,38361.0,137,7,19.6,7,42.9,0,2
Undergrad Degree,Relationship,34,766,0,82497.0,1919,18,106.6,4,5.6,1,1
Undergrad Degree,Relationship,43,325,2,16626.0,68,6,11.3,9,50.0,0,2
Undergrad Degree,Relationship,49,368,2,29672.0,25,3,8.3,6,33.3,0,2
PostGrad Degree,Relationship,62,835,1,55951.0,1374,20,68.7,8,15.0,2,1
PostGrad Degree,Single,26,521,1,35388.0,32,4,8.0,7,25.0,0,0
PostGrad Degree,Relationship,28,692,1,42386.0,100,6,16.7,8,16.7,0,0
Undergrad Degree,Single,32,370,0,68627.0,825,11,75.0,1,9.1,0,1
PostGrad Degree,Single,49,264,1,57912.0,916,23,39.8,5,21.7,1,3
Undergrad Degree,Single,56,234,2,35246.0,62,7,8.9,5,57.1,0,2
PostGrad Degree,Relationship,58,361,1,58821.0,728,20,36.4,6,5.0,0,3
PostGrad Degree,Relationship,36,337,1,46377.0,90,6,15.0,4,16.7,0,2
Undergrad Degree,Single,26,237,1,39747.0,273,10,27.3,8,30.0,0,2
Undergrad Degree,Relationship,30,344,1,23976.0,66,7,9.4,7,42.9,0,2
PostGrad Degree,Relationship,53,618,0,80950.0,1213,22,55.1,2,4.5,1,3
Undergrad Degree,Single,48,809,0,27038.0,107,6,17.8,9,16.7,1,0
Undergrad Degree,Single,67,217,0,77457.0,1157,17,68.1,1,5.9,1,1
PostGrad Degree,Relationship,50,423,1,64100.0,546,17,32.1,7,5.9,1,3
PostGrad Degree,Relationship,22,588,0,42670.0,241,10,24.1,4,10.0,0,0
Undergrad Degree,Single,38,322,1,12571.0,53,7,7.6,6,57.1,0,2
Undergrad Degree,Relationship,47,404,3,22574.0,37,5,7.4,7,40.0,0,2
Undergrad Degree,Relationship,25,640,0,52247.25135379061,1611,23,70.0,3,4.3,2,1
PostGrad Degree,Single,38,552,0,70893.0,1508,22,68.5,3,4.5,0,1
Undergrad Degree,Relationship,48,354,2,54198.0,235,10,23.5,4,60.0,0,2
PostGrad Degree,Relationship,58,33,2,28839.0,32,5,6.4,5,40.0,0,2
Undergrad Degree,Relationship,42,495,2,40321.0,102,6,17.0,7,33.3,0,2
Undergrad Degree,Single,29,844,1,66503.0,401,13,30.8,3,15.4,0,0
Undergrad Degree,Relationship,63,508,2,30833.0,28,4,7.0,5,50.0,0,0
Undergrad Degree,Single,44,470,3,52247.25135379061,1052,15,70.1,7,40.0,2,1
Undergrad Degree,Relationship,43,688,1,64795.0,680,18,37.8,2,16.7,0,3
Undergrad Degree,Relationship,40,698,1,34421.0,30,3,10.0,7,33.3,0,0
PostGrad Degree,Single,49,95,2,47025.0,20,3,6.7,7,33.3,0,2
