,ID,Education,GradorPost,Marital_Status,Relationship,Dt_Customer,days,Year_Birth,Age,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,SumAcceptedCmp
35,10738,Master,PostGrad Degree,Single,Single,2013-08-29,464,1951,63,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,0
36,4339,PhD,PostGrad Degree,Married,Relationship,2013-12-31,340,1970,44,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,0
37,10755,2n Cycle,PostGrad Degree,Married,Relationship,2013-02-09,665,1976,38,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,0
38,8595,Graduation,Undergrad Degree,Widow,Single,2014-11-02,34,1973,41,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,0
39,2968,PhD,PostGrad Degree,Divorced,Single,2013-01-02,703,1943,71,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,2
40,8601,Graduation,Undergrad Degree,Married,Relationship,2013-04-29,586,1980,34,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,0
41,503,Master,PostGrad Degree,Married,Relationship,2013-12-03,368,1985,29,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,0
42,8430,Graduation,Undergrad Degree,Together,Relationship,2012-12-24,712,1957,57,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,0
43,7281,PhD,PostGrad Degree,Single,Single,2013-05-11,574,1959,55,52247.25135379061,0,0,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,0
44,2139,Master,PostGrad Degree,Married,Relationship,2013-02-10,664,1975,39,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,0
45,1371,Graduation,Undergrad Degree,Single,Single,2014-06-28,161,1976,38,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,0
46,9909,2n Cycle,PostGrad Degree,Married,Relationship,2012-09-11,816,1996,18,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,1
47,7286,Graduation,Undergrad Degree,Together,Relationship,2013-05-24,561,1968,46,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,0
48,7244,Graduation,Undergrad Degree,Single,Single,2014-01-01,339,1951,63,52247.25135379061,2,1,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,0
49,6566,PhD,PostGrad Degree,Married,Relationship,2012-08-11,847,1954,60,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,0
50,8614,Graduation,Undergrad Degree,Widow,Single,2014-12-05,1,1957,57,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,0
51,4114,Master,PostGrad Degree,Married,Relationship,2012-11-08,758,1964,50,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,0
52,1331,Graduation,Undergrad Degree,Single,Single,2013-02-01,673,1977,37,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,0
53,2225,Graduation,Undergrad Degree,Divorced,Single,2014-07-06,153,1977,37,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,3
54,9381,Graduation,Undergrad Degree,Married,Relationship,2013-12-06,365,1978,36,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,0
55,6260,Master,PostGrad Degree,Together,Relationship,2012-11-19,747,1955,59,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,2
56,10383,Graduation,Undergrad Degree,Divorced,Single,2013-02-04,670,1966,48,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,1
57,7437,Graduation,Undergrad Degree,Single,Single,2014-04-28,222,1988,26,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,0
58,8557,Graduation,Undergrad Degree,Single,Single,2013-06-17,537,1982,32,52247.25135379061,1,0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,0
59,8375,PhD,PostGrad Degree,Married,Relationship,2014-03-03,278,1968,46,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,0
60,6853,Master,PostGrad Degree,Single,Single,2013-04-07,608,1982,32,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,3
61,3076,Graduation,Undergrad Degree,Together,Relationship,2012-07-09,880,1975,39,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,0
62,1012,Graduation,Undergrad Degree,Single,Single,2013-02-18,656,1952,62,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,0
63,6518,PhD,PostGrad Degree,Widow,Single,2013-11-06,395,1951,63,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,0
64,4137,Graduation,Undergrad Degree,Together,Relationship,2013-06-12,542,1948,66,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,0
65,8082,Graduation,Undergrad Degree,Married,Relationship,2013-05-21,564,1971,43,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,1
66,1386,Graduation,Undergrad Degree,Together,Relationship,2014-11-05,31,1967,47,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,0
67,9369,2n Cycle,PostGrad Degree,Single,Single,2014-03-19,262,1979,35,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,3
68,4477,Graduation,Undergrad Degree,Together,Relationship,2013-09-27,435,1958,56,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,0
69,1357,Graduation,Undergrad Degree,Together,Relationship,2013-08-04,489,1970,44,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,0
70,1402,Master,PostGrad Degree,Married,Relationship,2012-11-09,757,1954,60,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,0
71,10629,2n Cycle,PostGrad Degree,Married,Relationship,2012-09-14,813,1973,41,52247.25135379061,1,0,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,0
72,6312,Graduation,Undergrad Degree,Married,Relationship,2013-03-17,629,1959,55,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,0
73,8132,PhD,PostGrad Degree,Married,Relationship,2013-05-04,581,1975,39,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,1
74,1050,Graduation,Undergrad Degree,Married,Relationship,2014-04-30,220,1952,62,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,0
75,5846,Graduation,Undergrad Degree,Divorced,Single,2012-12-19,717,1977,37,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,0
76,1859,Master,PostGrad Degree,Married,Relationship,2012-08-27,831,1972,42,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,1
77,7503,Graduation,Undergrad Degree,Single,Single,2012-12-10,726,1976,38,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,2
78,10401,2n Cycle,PostGrad Degree,Together,Relationship,2013-04-09,606,1976,38,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,0
79,1618,Graduation,Undergrad Degree,Together,Relationship,2013-02-01,673,1965,49,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,2
80,3332,Graduation,Undergrad Degree,Single,Single,2012-08-29,829,1985,29,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,0
81,2261,Graduation,Undergrad Degree,Married,Relationship,2013-06-23,531,1969,45,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,0
82,5346,2n Cycle,PostGrad Degree,Married,Relationship,2013-03-07,639,1973,41,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,0
83,4119,Master,PostGrad Degree,Together,Relationship,2013-11-05,396,1963,51,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,0
84,535,Graduation,Undergrad Degree,Divorced,Single,2014-02-25,284,1987,27,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,0
85,5268,Graduation,Undergrad Degree,Married,Relationship,2013-11-08,393,1960,54,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,0
86,273,Master,PostGrad Degree,Married,Relationship,2013-07-16,508,1970,44,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,1
87,4452,Graduation,Undergrad Degree,Single,Single,2014-05-28,192,1957,57,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,3
88,8504,Graduation,Undergrad Degree,Married,Relationship,2014-12-05,1,1973,41,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,1
89,771,Graduation,Undergrad Degree,Together,Relationship,2014-01-21,319,1967,47,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,0
90,8996,PhD,PostGrad Degree,Married,Relationship,2012-11-19,747,1957,57,52247.25135379061,2,1,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,0
91,9235,Graduation,Undergrad Degree,Single,Single,2014-05-27,193,1957,57,52247.25135379061,1,1,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,0
92,5798,Master,PostGrad Degree,Together,Relationship,2013-11-23,378,1973,41,52247.25135379061,0,0,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,0
93,11178,Master,PostGrad Degree,Single,Single,2014-03-23,258,1972,42,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,0
94,2230,PhD,PostGrad Degree,Married,Relationship,2014-05-24,196,1970,44,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,0
95,7516,Graduation,Undergrad Degree,Married,Relationship,2014-05-22,198,1983,31,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,0
96,7247,Graduation,Undergrad Degree,Widow,Single,2012-11-22,744,1960,54,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,1
97,11100,Graduation,Undergrad Degree,Divorced,Single,2013-11-04,397,1972,42,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,0
98,4646,2n Cycle,PostGrad Degree,Married,Relationship,2013-01-12,693,1951,63,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,1
99,3037,PhD,PostGrad Degree,Married,Relationship,2013-06-20,534,1983,31,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,0
100,1473,2n Cycle,PostGrad Degree,Single,Single,2013-07-23,501,1960,54,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,0
101,1016,PhD,PostGrad Degree,Single,Single,2014-03-30,251,1959,55,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,0
102,4518,Graduation,Undergrad Degree,Together,Relationship,2013-04-20,595,1979,35,85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,0
103,9370,PhD,PostGrad Degree,Married,Relationship,2013-05-17,568,1945,69,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,0
104,8908,Graduation,Undergrad Degree,Married,Relationship,2014-08-05,123,1959,55,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,1
105,8373,Basic,Undergrad Degree,Together,Relationship,2013-10-12,420,1979,35,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,0
106,7533,Graduation,Undergrad Degree,Married,Relationship,2013-09-24,438,1964,50,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,0
107,2683,Graduation,Undergrad Degree,Married,Relationship,2013-02-02,672,1969,45,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,0
108,3629,Graduation,Undergrad Degree,Single,Single,2012-12-19,717,1978,36,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,0
109,10991,Master,PostGrad Degree,Married,Relationship,2012-07-12,877,1960,54,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,0
110,5077,Graduation,Undergrad Degree,Together,Relationship,2013-02-11,663,1979,35,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,0
111,7431,PhD,PostGrad Degree,Single,Single,2012-10-11,786,1991,23,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,2
112,3267,Master,PostGrad Degree,Together,Relationship,2014-06-25,164,1963,51,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,1
113,999,Graduation,Undergrad Degree,Single,Single,2013-02-01,673,1991,23,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,3
114,9215,PhD,PostGrad Degree,Married,Relationship,2012-12-12,724,1980,34,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,0
115,2286,Graduation,Undergrad Degree,Single,Single,2013-10-09,423,1962,52,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,0
116,1592,Graduation,Undergrad Degree,Married,Relationship,2014-01-24,316,1970,44,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,2
117,367,2n Cycle,PostGrad Degree,Married,Relationship,2013-02-19,655,1978,36,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,0
118,5234,2n Cycle,PostGrad Degree,Together,Relationship,2013-11-07,394,1967,47,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,0
119,9862,Graduation,Undergrad Degree,Together,Relationship,2013-11-14,387,1969,45,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,0
120,9805,Master,PostGrad Degree,Together,Relationship,2013-06-20,534,1953,61,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,0
121,6205,Master,PostGrad Degree,Single,Single,2014-02-24,285,1967,47,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,1
122,8442,Master,PostGrad Degree,Married,Relationship,2013-04-09,606,1985,29,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,0
123,7386,Graduation,Undergrad Degree,Divorced,Single,2013-04-22,593,1976,38,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,0
124,7215,Graduation,Undergrad Degree,Single,Single,2013-12-03,368,1983,31,101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,4
125,1491,2n Cycle,PostGrad Degree,Together,Relationship,2013-02-18,656,1965,49,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,0
126,11071,Graduation,Undergrad Degree,Single,Single,2013-04-21,594,1984,30,79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,1
127,3381,Master,PostGrad Degree,Married,Relationship,2014-08-06,122,1953,61,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,0
128,8268,PhD,PostGrad Degree,Married,Relationship,2013-11-07,394,1961,53,52247.25135379061,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,0
129,11051,PhD,PostGrad Degree,Together,Relationship,2014-10-05,62,1956,58,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,0
130,8026,Graduation,Undergrad Degree,Married,Relationship,2013-09-30,432,1952,62,62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,0
131,433,Master,PostGrad Degree,Alone,Single,2013-10-03,429,1958,56,61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,0
132,9597,Graduation,Undergrad Degree,Married,Relationship,2014-10-02,65,1969,45,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,0
133,1295,Graduation,Undergrad Degree,Married,Relationship,2013-11-08,393,1963,51,52247.25135379061,0,1,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,0
134,5290,PhD,PostGrad Degree,Married,Relationship,2013-08-14,479,1964,50,41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,0
135,1685,PhD,PostGrad Degree,Together,Relationship,2013-03-17,629,1967,47,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,1
136,5342,Basic,Undergrad Degree,Divorced,Single,2012-08-08,850,1976,38,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,0
137,9579,PhD,PostGrad Degree,Married,Relationship,2013-07-07,517,1959,55,33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,0
138,7660,PhD,PostGrad Degree,Alone,Single,2014-05-19,201,1973,41,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,2
139,1461,PhD,PostGrad Degree,Divorced,Single,2013-07-28,496,1965,49,36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,0
140,821,Master,PostGrad Degree,Single,Single,2012-10-19,778,1992,22,92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,0
141,11084,Master,PostGrad Degree,Together,Relationship,2013-11-14,387,1976,38,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,1
142,8690,Graduation,Undergrad Degree,Married,Relationship,2013-04-19,596,1962,52,86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,0
143,2937,PhD,PostGrad Degree,Single,Single,2013-08-28,465,1974,40,68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,0
144,9701,Graduation,Undergrad Degree,Together,Relationship,2013-03-19,627,1988,26,41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,0
145,9949,Graduation,Undergrad Degree,Married,Relationship,2012-10-18,779,1976,38,59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,0
146,10837,Graduation,Undergrad Degree,Married,Relationship,2012-10-28,769,1975,39,23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,1
147,3120,Graduation,Undergrad Degree,Together,Relationship,2013-08-28,465,1981,33,38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,0
148,5885,2n Cycle,PostGrad Degree,Married,Relationship,2012-08-22,836,1973,41,35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,0
149,4050,Master,PostGrad Degree,Married,Relationship,2014-06-21,168,1966,48,49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,0
150,3830,Master,PostGrad Degree,Married,Relationship,2014-04-24,226,1953,61,59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,0
