,GradorPost,Relationship,Age,days,kidsteenHome,Income,MntTotal,NumAllPurchases,AverageCheck,NumWebVisitsMonth,ShareDealsPurchases,SumAcceptedCmp,Education,Marital_Status,Dt_Customer,Year_Birth,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,cluster
33,PostGrad Degree,Single,62,768,2,46610.0,302,11,27.5,6,54.5,1,PhD,Divorced,2012-10-29,1952,0,2,8,96,12,96,33,22,43,6,4,1,6,0,0,0,0,0,0,1,0
34,PostGrad Degree,Relationship,68,654,0,68657.0,1196,17,70.4,7,5.9,0,Master,Married,2013-02-20,1946,0,0,4,482,34,471,119,68,22,1,3,5,9,0,0,0,0,0,0,0,1
35,PostGrad Degree,Single,63,464,2,49389.0,65,5,13.0,7,20.0,0,Master,Single,2013-08-29,1951,1,1,55,40,0,19,2,1,3,1,2,0,3,0,0,0,0,0,0,0,2
36,PostGrad Degree,Relationship,44,340,1,67353.0,913,23,39.7,2,21.7,0,PhD,Married,2013-12-31,1970,0,1,37,702,17,151,0,8,35,5,5,6,12,0,0,0,0,0,0,0,3
37,PostGrad Degree,Relationship,38,665,1,23718.0,81,6,13.5,7,50.0,0,2n Cycle,Married,2013-02-09,1976,1,0,76,6,3,14,15,7,36,3,3,1,2,0,0,0,0,0,0,0,0
38,Undergrad Degree,Single,41,34,1,42429.0,67,5,13.4,5,40.0,0,Graduation,Widow,2014-11-02,1973,0,1,99,55,0,6,2,0,4,2,1,1,3,0,0,0,0,0,0,0,2
39,PostGrad Degree,Single,71,703,0,48948.0,902,22,41.0,6,9.1,2,PhD,Divorced,2013-01-02,1943,0,0,53,437,8,206,160,49,42,2,7,10,5,1,0,0,0,0,0,1,3
40,Undergrad Degree,Relationship,34,586,1,80011.0,1395,19,73.4,4,10.5,0,Graduation,Married,2013-04-29,1980,0,1,3,421,76,536,82,178,102,2,8,6,5,0,0,0,0,0,0,0,1
41,PostGrad Degree,Relationship,29,368,1,20559.0,53,5,10.6,8,40.0,0,Master,Married,2013-12-03,1985,1,0,88,13,1,29,3,0,7,2,2,0,3,0,0,0,0,0,0,0,2
42,Undergrad Degree,Relationship,57,712,1,21994.0,22,3,7.3,5,33.3,0,Graduation,Together,2012-12-24,1957,0,1,4,9,0,6,3,1,3,1,0,0,3,0,0,0,0,0,0,0,0
43,PostGrad Degree,Single,55,574,0,52247.25135379061,186,8,23.2,2,12.5,0,PhD,Single,2013-05-11,1959,0,0,80,81,11,50,3,2,39,1,1,3,4,0,0,0,0,0,0,0,0
44,PostGrad Degree,Relationship,39,664,1,7500.0,31,5,6.2,5,60.0,0,Master,Married,2013-02-10,1975,1,0,19,3,1,10,3,2,12,3,2,0,3,0,0,0,0,0,0,0,0
45,Undergrad Degree,Single,38,161,0,79941.0,984,15,65.6,1,6.7,0,Graduation,Single,2014-06-28,1976,0,0,72,123,164,266,227,30,174,1,2,4,9,0,0,0,0,0,0,0,1
46,PostGrad Degree,Relationship,18,816,0,7500.0,122,7,17.4,9,42.9,1,2n Cycle,Married,2012-09-11,1996,0,0,24,3,18,14,15,22,50,3,3,1,3,0,0,0,0,0,0,1,0
47,Undergrad Degree,Relationship,46,561,1,41728.0,55,4,13.8,10,25.0,0,Graduation,Together,2013-05-24,1968,1,0,92,13,6,15,3,5,13,1,2,0,2,0,0,0,0,0,0,0,0
48,Undergrad Degree,Single,63,339,3,52247.25135379061,124,7,17.7,6,42.9,0,Graduation,Single,2014-01-01,1951,2,1,96,48,5,48,6,10,7,3,2,1,4,0,0,0,0,0,0,0,2
49,PostGrad Degree,Relationship,60,847,2,72550.0,1319,19,69.4,8,47.4,0,PhD,Married,2012-08-11,1954,1,1,39,826,50,317,50,38,38,9,5,2,12,0,0,0,0,0,0,0,1
50,Undergrad Degree,Single,57,1,1,65486.0,507,16,31.7,2,6.2,0,Graduation,Widow,2014-12-05,1957,0,1,29,245,19,125,37,67,14,1,4,2,10,0,0,0,0,0,0,0,2
51,PostGrad Degree,Relationship,50,758,0,79143.0,1693,28,60.5,3,3.6,0,Master,Married,2012-11-08,1964,0,0,2,650,37,780,27,167,32,1,6,9,13,0,0,0,0,0,0,0,1
52,Undergrad Degree,Single,37,673,1,35790.0,72,5,14.4,7,40.0,0,Graduation,Single,2013-02-01,1977,1,0,54,12,6,20,30,1,3,2,2,0,3,0,0,0,0,0,0,0,0
53,Undergrad Degree,Single,37,153,0,82582.0,1617,20,80.8,1,5.0,3,Graduation,Divorced,2014-07-06,1977,0,0,54,510,120,550,156,40,241,1,4,9,7,1,0,0,1,0,0,1,1
54,Undergrad Degree,Relationship,36,365,2,66373.0,606,16,37.9,3,43.8,0,Graduation,Married,2013-12-06,1978,1,1,57,328,9,124,12,24,109,7,4,2,10,0,0,0,0,0,0,0,3
55,PostGrad Degree,Relationship,59,747,0,82384.0,1957,26,75.3,1,3.8,2,Master,Together,2012-11-19,1955,0,0,55,984,51,432,180,120,190,1,3,10,13,0,0,1,0,0,0,1,1
56,Undergrad Degree,Single,48,670,0,70287.0,1093,20,54.6,3,5.0,1,Graduation,Divorced,2013-02-04,1966,0,0,30,295,35,482,121,120,40,1,5,5,10,0,0,0,0,0,0,1,3
57,Undergrad Degree,Single,26,222,1,27938.0,29,5,5.8,3,20.0,0,Graduation,Single,2014-04-28,1988,1,0,31,13,0,8,2,1,5,1,1,0,4,0,0,0,0,0,0,0,2
58,Undergrad Degree,Single,32,537,1,52247.25135379061,46,5,9.2,6,40.0,0,Graduation,Single,2013-06-17,1982,1,0,57,11,3,22,2,2,6,2,2,0,3,0,0,0,0,0,0,0,0
59,PostGrad Degree,Relationship,46,278,1,55954.0,518,16,32.4,7,18.8,0,PhD,Married,2014-03-03,1968,0,1,63,447,0,28,0,0,43,3,8,2,6,0,0,0,0,0,0,0,3
60,PostGrad Degree,Single,32,608,0,75777.0,1438,20,71.9,1,5.0,3,Master,Single,2013-04-07,1982,0,0,12,712,26,538,69,13,80,1,3,6,11,0,1,1,0,0,0,1,1
61,Undergrad Degree,Relationship,39,880,2,66653.0,612,18,34.0,3,22.2,0,Graduation,Together,2012-07-09,1975,1,1,18,452,18,102,16,18,6,4,4,2,12,0,0,0,0,0,0,0,3
62,Undergrad Degree,Single,62,656,1,61823.0,884,20,44.2,7,20.0,0,Graduation,Single,2013-02-18,1952,0,1,26,523,7,134,37,14,169,4,8,2,10,0,0,0,0,0,0,0,3
63,PostGrad Degree,Single,63,395,1,67680.0,606,18,33.7,5,5.6,0,PhD,Widow,2013-11-06,1951,0,1,8,546,0,48,0,6,6,1,7,3,8,0,0,0,0,0,0,0,3
64,Undergrad Degree,Relationship,66,542,0,70666.0,1076,15,71.7,4,6.7,0,Graduation,Together,2013-06-12,1948,0,0,29,398,40,367,119,122,30,1,7,4,4,0,0,0,0,0,0,0,1
65,Undergrad Degree,Relationship,43,564,1,25721.0,34,4,8.5,7,25.0,1,Graduation,Married,2013-05-21,1971,1,0,75,1,3,6,3,6,15,1,1,1,2,0,0,0,0,0,0,1,0
66,Undergrad Degree,Relationship,47,31,2,32474.0,11,3,3.7,7,33.3,0,Graduation,Together,2014-11-05,1967,1,1,0,10,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,2
67,PostGrad Degree,Single,35,262,1,88194.0,1274,31,41.1,5,3.2,3,2n Cycle,Single,2014-03-19,1979,0,1,19,688,14,309,201,24,38,1,11,10,10,1,0,0,1,0,0,1,3
68,Undergrad Degree,Relationship,56,435,1,69096.0,653,17,38.4,4,5.9,0,Graduation,Together,2013-09-27,1958,0,1,4,247,49,159,7,82,109,1,5,2,10,0,0,0,0,0,0,0,3
69,Undergrad Degree,Relationship,44,489,3,74854.0,1562,12,130.2,5,58.3,0,Graduation,Together,2013-08-04,1970,1,2,90,856,59,487,58,29,73,7,2,5,5,0,0,0,0,0,0,0,1
70,PostGrad Degree,Relationship,60,757,0,66991.0,1253,18,69.6,3,16.7,0,Master,Married,2012-11-09,1954,0,0,1,496,36,460,189,60,12,3,4,8,6,0,0,0,0,0,0,0,1
71,PostGrad Degree,Relationship,41,813,1,52247.25135379061,109,6,18.2,8,50.0,0,2n Cycle,Married,2012-09-14,1973,1,0,25,25,3,43,17,4,17,3,3,0,3,0,0,0,0,0,0,0,0
72,Undergrad Degree,Relationship,55,629,1,65031.0,863,26,33.2,7,15.4,0,Graduation,Married,2013-03-17,1959,0,1,29,258,107,291,84,37,86,4,10,3,13,0,0,0,0,0,0,0,3
73,PostGrad Degree,Relationship,39,581,2,60631.0,661,19,34.8,7,26.3,1,PhD,Married,2013-05-04,1975,1,1,88,565,6,65,0,6,19,5,9,2,8,0,1,0,0,0,0,0,3
74,Undergrad Degree,Relationship,62,220,0,28332.0,65,7,9.3,2,14.3,0,Graduation,Married,2014-04-30,1952,0,0,58,14,10,13,4,15,9,1,2,1,4,0,0,0,0,0,0,0,2
75,Undergrad Degree,Single,37,717,1,40246.0,13,3,4.3,6,33.3,0,Graduation,Divorced,2012-12-19,1977,1,0,68,2,1,6,2,1,1,1,1,0,2,0,0,0,0,0,0,0,0
76,PostGrad Degree,Relationship,42,831,0,75251.0,1890,18,105.0,5,5.6,1,Master,Married,2012-08-27,1972,0,0,34,721,111,925,97,18,18,1,7,6,5,0,0,0,0,0,0,1,1
77,Undergrad Degree,Single,38,726,0,75825.0,2209,22,100.4,4,0.0,2,Graduation,Single,2012-12-10,1976,0,0,40,1032,105,779,137,105,51,0,5,8,9,1,0,0,0,0,0,1,1
78,PostGrad Degree,Relationship,38,606,0,26326.0,18,3,6.0,3,33.3,0,2n Cycle,Together,2013-04-09,1976,0,0,12,1,0,5,0,3,9,1,0,0,3,0,0,0,0,0,1,0,0
79,Undergrad Degree,Relationship,49,673,0,56046.0,692,19,36.4,8,10.5,2,Graduation,Together,2013-02-01,1965,0,0,9,577,0,64,0,0,51,2,10,1,8,1,0,0,0,0,0,1,3
80,Undergrad Degree,Single,29,829,1,29760.0,165,8,20.6,8,50.0,0,Graduation,Single,2012-08-29,1985,1,0,87,64,4,68,7,5,17,4,3,1,4,0,0,0,0,0,0,0,0
81,Undergrad Degree,Relationship,45,531,1,26304.0,16,3,5.3,7,33.3,0,Graduation,Married,2013-06-23,1969,1,0,5,4,1,5,2,0,4,1,1,0,2,0,0,0,0,0,0,0,0
82,PostGrad Degree,Relationship,41,639,1,23559.0,79,6,13.2,7,50.0,0,2n Cycle,Married,2013-03-07,1973,1,0,87,25,5,19,7,0,23,3,3,0,3,0,0,0,0,0,0,0,0
83,PostGrad Degree,Relationship,51,396,0,38620.0,318,10,31.8,3,10.0,0,Master,Together,2013-11-05,1963,0,0,56,112,17,44,34,22,89,1,2,5,3,0,0,0,0,0,0,0,2
84,Undergrad Degree,Single,27,284,0,81361.0,778,26,29.9,1,3.8,0,Graduation,Divorced,2014-02-25,1987,0,0,18,163,23,424,27,65,76,1,3,10,13,0,0,0,0,0,0,0,3
85,Undergrad Degree,Relationship,54,393,2,29440.0,56,5,11.2,7,40.0,0,Graduation,Married,2013-11-08,1960,1,1,95,17,8,14,10,4,3,2,1,0,4,0,0,0,0,0,0,0,2
86,PostGrad Degree,Relationship,44,508,2,36138.0,151,8,18.9,7,62.5,1,Master,Married,2013-07-16,1970,1,1,48,130,0,16,0,0,5,5,3,1,4,0,1,0,0,0,0,0,0
87,Undergrad Degree,Single,57,192,1,50388.0,372,13,28.6,7,30.8,3,Graduation,Single,2014-05-28,1957,0,1,3,292,6,37,0,3,34,4,6,1,6,0,1,0,1,0,0,1,2
88,Undergrad Degree,Relationship,41,1,0,79593.0,1366,18,75.9,2,5.6,1,Graduation,Married,2014-12-05,1973,0,0,70,350,60,568,110,133,145,1,5,6,7,0,0,1,0,0,0,0,1
89,Undergrad Degree,Relationship,47,319,1,54178.0,194,9,21.6,2,11.1,0,Graduation,Together,2014-01-21,1967,0,1,79,135,9,39,4,0,7,1,2,2,5,0,0,0,0,0,0,0,2
90,PostGrad Degree,Relationship,57,747,3,52247.25135379061,603,17,35.5,9,70.6,0,PhD,Married,2012-11-19,1957,2,1,4,230,42,192,49,37,53,12,7,2,8,0,0,0,0,0,0,0,3
91,Undergrad Degree,Single,57,193,2,52247.25135379061,18,3,6.0,7,33.3,0,Graduation,Single,2014-05-27,1957,1,1,45,7,0,8,2,0,1,1,1,0,2,0,0,0,0,0,0,0,2
92,PostGrad Degree,Relationship,41,378,0,52247.25135379061,985,14,70.4,1,7.1,0,Master,Together,2013-11-23,1973,0,0,87,445,37,359,98,28,18,1,2,4,8,0,0,0,0,0,0,0,1
93,PostGrad Degree,Single,42,258,1,42394.0,32,4,8.0,7,25.0,0,Master,Single,2014-03-23,1972,1,0,69,15,2,10,0,1,4,1,1,0,3,0,0,0,0,0,0,0,2
94,PostGrad Degree,Relationship,44,196,1,23626.0,43,7,6.1,5,42.9,0,PhD,Married,2014-05-24,1970,1,0,84,27,2,14,0,0,0,3,3,1,3,0,0,0,0,0,0,0,2
95,Undergrad Degree,Relationship,31,198,1,30096.0,45,5,9.0,6,20.0,0,Graduation,Married,2014-05-22,1983,1,0,30,5,3,11,12,5,9,1,2,0,3,0,0,0,0,0,0,0,2
96,Undergrad Degree,Single,54,744,1,47916.0,606,17,35.6,6,29.4,1,Graduation,Widow,2012-11-22,1960,0,1,72,505,0,26,0,0,75,5,7,4,6,0,1,0,0,0,0,0,3
97,Undergrad Degree,Single,42,397,2,51813.0,63,5,12.6,7,40.0,0,Graduation,Divorced,2013-11-04,1972,1,1,37,51,2,7,0,1,2,2,2,0,3,0,0,0,0,0,0,0,2
98,PostGrad Degree,Relationship,63,693,0,78497.0,978,24,40.8,2,4.2,1,2n Cycle,Married,2013-01-12,1951,0,0,44,207,26,447,75,0,223,1,5,7,12,0,0,0,1,0,0,0,3
99,PostGrad Degree,Relationship,31,534,0,50150.0,410,14,29.3,5,14.3,0,PhD,Married,2013-06-20,1983,0,0,32,135,46,92,65,61,11,2,5,2,7,0,0,0,0,0,0,0,3
100,PostGrad Degree,Single,54,501,1,47823.0,72,5,14.4,8,40.0,0,2n Cycle,Single,2013-07-23,1960,0,1,0,53,1,5,2,1,10,2,2,0,3,0,0,0,0,0,0,0,2
101,PostGrad Degree,Single,55,251,1,34554.0,55,5,11.0,6,40.0,0,PhD,Single,2014-03-30,1959,0,1,43,41,1,6,2,0,5,2,2,0,3,0,0,0,0,0,0,0,2
102,Undergrad Degree,Relationship,35,595,1,85693.0,1169,25,46.8,5,8.0,0,Graduation,Together,2013-04-20,1979,0,1,59,386,172,183,185,132,111,2,9,5,11,0,0,0,0,0,0,0,3
103,PostGrad Degree,Relationship,69,568,0,65846.0,1120,15,74.7,4,6.7,0,PhD,Married,2013-05-17,1945,0,0,68,562,81,276,80,40,81,1,6,3,6,0,0,0,0,0,0,0,1
104,Undergrad Degree,Relationship,55,123,0,87195.0,1097,19,57.7,1,5.3,1,Graduation,Married,2014-08-05,1959,0,0,35,217,76,690,50,26,38,1,3,11,5,0,0,0,0,0,0,1,3
105,Undergrad Degree,Relationship,35,420,1,24594.0,29,4,7.2,5,25.0,0,Basic,Together,2013-10-12,1979,1,0,94,1,3,6,10,0,9,1,1,0,3,0,0,0,0,0,0,0,2
106,Undergrad Degree,Relationship,50,438,2,49096.0,187,9,20.8,7,44.4,0,Graduation,Married,2013-09-24,1964,1,1,15,144,1,32,2,1,7,4,4,1,4,0,0,0,0,0,0,0,2
107,Undergrad Degree,Relationship,45,672,2,52413.0,910,22,41.4,6,18.2,0,Graduation,Married,2013-02-02,1969,0,2,56,295,106,271,75,98,65,4,6,4,12,0,0,0,0,0,0,0,3
108,Undergrad Degree,Single,36,717,1,38557.0,145,7,20.7,7,28.6,0,Graduation,Single,2012-12-19,1978,1,0,17,76,3,31,4,4,27,2,3,1,3,0,0,0,0,0,0,0,0
109,PostGrad Degree,Relationship,54,877,0,89058.0,850,13,65.4,2,7.7,0,Master,Married,2012-07-12,1960,0,0,18,454,194,106,31,22,43,1,5,4,4,0,0,0,0,0,0,0,3
110,Undergrad Degree,Relationship,35,663,1,77298.0,969,23,42.1,3,4.3,0,Graduation,Together,2013-02-11,1979,0,1,46,425,115,292,23,35,79,1,6,6,11,0,0,0,0,0,0,0,3
111,PostGrad Degree,Single,23,786,0,68126.0,1820,16,113.8,9,6.2,2,PhD,Single,2012-10-11,1991,0,0,40,1332,17,311,23,51,86,1,7,4,5,0,1,0,0,0,0,1,1
112,PostGrad Degree,Relationship,51,164,1,57288.0,608,17,35.8,6,17.6,1,Master,Together,2014-06-25,1963,0,1,27,527,0,21,0,0,60,3,8,1,8,0,1,0,0,0,0,0,3
113,Undergrad Degree,Single,23,673,0,86037.0,730,24,30.4,3,4.2,3,Graduation,Single,2013-02-01,1991,0,0,95,490,44,125,29,20,22,1,6,7,11,0,1,1,0,0,0,1,3
114,PostGrad Degree,Relationship,34,724,1,43974.0,551,16,34.4,7,31.2,0,PhD,Married,2012-12-12,1980,1,0,19,378,0,101,0,0,72,5,6,4,6,0,0,0,0,0,0,0,3
115,Undergrad Degree,Single,52,423,2,50785.0,114,6,19.0,6,33.3,0,Graduation,Single,2013-10-09,1962,1,1,27,64,1,21,0,1,27,2,2,1,3,0,0,0,0,0,0,0,2
116,Undergrad Degree,Relationship,44,316,0,90765.0,1724,15,114.9,1,0.0,2,Graduation,Married,2014-01-24,1970,0,0,25,547,99,812,151,82,33,0,4,6,5,0,0,1,1,0,0,0,1
117,PostGrad Degree,Relationship,36,655,1,36550.0,577,15,38.5,9,33.3,0,2n Cycle,Married,2013-02-19,1978,1,0,74,47,90,94,123,103,120,5,9,1,5,0,0,0,0,0,0,0,3
118,PostGrad Degree,Relationship,47,394,2,30753.0,81,5,16.2,5,40.0,0,2n Cycle,Together,2013-11-07,1967,1,1,85,12,5,25,0,9,30,2,1,1,3,0,0,0,0,0,0,0,2
119,Undergrad Degree,Relationship,45,387,1,21918.0,33,5,6.6,6,40.0,0,Graduation,Together,2013-11-14,1969,1,0,37,1,6,7,11,5,3,2,2,0,3,0,0,0,0,0,0,0,2
120,PostGrad Degree,Relationship,61,534,1,56129.0,660,18,36.7,4,22.2,0,Master,Together,2013-06-20,1953,0,1,65,320,48,133,39,72,48,4,6,2,10,0,0,0,0,0,0,0,3
121,PostGrad Degree,Single,47,285,1,32557.0,80,6,13.3,5,50.0,1,Master,Single,2014-02-24,1967,1,0,13,34,3,29,0,4,10,3,2,1,3,0,0,0,0,0,0,1,2
122,PostGrad Degree,Relationship,29,606,2,19510.0,30,4,7.5,7,50.0,0,Master,Married,2013-04-09,1985,2,0,63,9,0,7,3,4,7,2,1,0,3,0,0,0,0,0,0,0,0
123,Undergrad Degree,Single,38,593,1,30992.0,43,4,10.8,7,25.0,0,Graduation,Divorced,2013-04-22,1976,1,0,83,17,0,14,7,3,2,1,1,0,3,0,0,0,0,0,0,0,0
124,Undergrad Degree,Single,31,368,0,101970.0,1135,27,42.0,2,0.0,4,Graduation,Single,2013-12-03,1983,0,0,69,722,27,102,44,72,168,0,6,8,13,0,1,1,1,0,0,1,3
125,PostGrad Degree,Relationship,49,656,0,71488.0,559,14,39.9,1,14.3,0,2n Cycle,Together,2013-02-18,1965,0,0,87,162,33,124,40,28,172,2,3,4,7,0,0,0,0,0,0,0,3
126,Undergrad Degree,Single,30,594,0,79607.0,1923,15,128.2,1,6.7,1,Graduation,Single,2013-04-21,1984,0,0,37,450,133,951,173,0,216,1,3,6,6,0,0,0,0,0,0,1,1
127,PostGrad Degree,Relationship,61,122,2,54348.0,90,6,15.0,6,33.3,0,Master,Married,2014-08-06,1953,1,1,51,70,0,16,0,0,4,2,2,0,4,0,0,0,0,0,0,0,2
128,PostGrad Degree,Relationship,53,394,1,52247.25135379061,404,14,28.9,6,21.4,0,PhD,Married,2013-11-07,1961,0,1,23,352,0,27,10,0,15,3,6,1,7,0,0,0,0,0,0,0,2
129,PostGrad Degree,Relationship,58,62,2,77376.0,661,19,34.8,4,21.1,0,PhD,Together,2014-10-05,1956,1,1,72,492,19,110,16,12,12,4,6,3,10,0,0,0,0,0,0,0,3
130,Undergrad Degree,Relationship,62,432,1,62998.0,463,14,33.1,5,35.7,0,Graduation,Married,2013-09-30,1952,0,1,10,120,58,73,65,89,58,5,5,4,5,0,0,0,0,0,0,0,3
